phonenumber,datetime,question1,question2,question3,question4,question5,risktolerance
88722606,2023-06-01 10:00:00,b,e,e,c,d,aggressive
83253031,2023-06-02 10:00:00,a,c,c,b,d,moderate
88106422,2023-06-03 10:00:00,e,c,d,d,d,aggressive
88722606,2023-06-04 10:00:00,b,e,d,b,a,moderate
85446912,2023-06-05 10:00:00,e,e,c,a,b,moderate
88722606,2023-06-06 10:00:00,c,b,b,b,a,moderate
94698379,2023-06-07 10:00:00,b,d,e,a,d,moderate
84965789,2023-06-08 10:00:00,e,b,d,d,d,aggressive
86007072,2023-06-09 10:00:00,b,a,a,d,b,conservative
98187926,2023-06-10 10:00:00,e,d,a,e,b,moderate
94514944,2023-06-11 10:00:00,d,b,d,e,e,aggressive
88412769,2023-06-12 10:00:00,c,d,e,e,d,aggressive
83253031,2023-06-13 10:00:00,d,b,d,d,c,aggressive
86539837,2023-06-14 10:00:00,b,c,e,d,b,aggressive
82321324,2023-06-15 10:00:00,d,a,c,b,c,moderate
92188789,2023-06-16 10:00:00,c,e,a,b,b,moderate
92871534,2023-06-17 10:00:00,d,b,b,a,d,moderate
84965789,2023-06-18 10:00:00,c,e,d,d,a,moderate
99877065,2023-06-19 10:00:00,d,d,e,a,e,moderate
92833230,2023-06-20 10:00:00,d,a,c,c,d,moderate
84965789,2023-06-21 10:00:00,e,e,e,b,d,aggressive
92871534,2023-06-22 10:00:00,c,d,d,a,d,moderate
92188789,2023-06-23 10:00:00,d,b,d,b,e,aggressive
95781295,2023-06-24 10:00:00,a,d,e,e,a,conservative
97067228,2023-06-25 10:00:00,d,b,d,b,a,moderate
86438436,2023-06-26 10:00:00,d,c,b,d,c,aggressive
92188789,2023-06-27 10:00:00,d,c,d,c,a,moderate
84946066,2023-06-28 10:00:00,a,e,a,c,b,conservative
84971793,2023-06-29 10:00:00,a,a,a,b,b,aggressive
91533224,2023-06-30 10:00:00,e,b,b,b,d,aggressive
85476257,2023-07-01 10:00:00,a,e,b,d,c,moderate
96472441,2023-07-02 10:00:00,c,b,e,e,a,moderate
96472441,2023-07-03 10:00:00,b,c,a,e,a,conservative
98350099,2023-07-04 10:00:00,e,d,d,b,a,moderate
88106422,2023-07-05 10:00:00,b,a,c,e,a,conservative
86752576,2023-07-06 10:00:00,a,c,e,d,c,moderate
95437923,2023-07-07 10:00:00,e,c,a,d,d,moderate
82694522,2023-07-08 10:00:00,d,c,d,b,d,aggressive
98187926,2023-07-09 10:00:00,e,c,e,e,d,aggressive
99436429,2023-07-10 10:00:00,d,e,c,c,b,aggressive
97067228,2023-07-11 10:00:00,c,d,b,d,e,aggressive
87194416,2023-07-12 10:00:00,d,c,a,d,c,moderate
98187926,2023-07-13 10:00:00,d,b,c,c,c,aggressive
82321324,2023-07-14 10:00:00,e,c,e,a,e,moderate
83564251,2023-07-15 10:00:00,a,b,d,d,e,moderate
86539837,2023-07-16 10:00:00,b,d,d,d,a,moderate
97067228,2023-07-17 10:00:00,c,b,d,b,c,aggressive
85476257,2023-07-18 10:00:00,e,c,d,e,e,aggressive
95076817,2023-07-19 10:00:00,d,e,c,c,d,aggressive
82321324,2023-07-20 10:00:00,c,c,b,a,b,moderate
