phonenumber,datetime,question1,question2,question3,question4,question5,risktolerance,name,dateofbirth,gender,email,annualincome,company,otherinformation
88722606,2023-06-01 10:00:00,b,e,e,c,d,aggressive,elizabeth rodriguez,1974-04-01,m,elizabeth.rodriguez44@example.com,134455,acme corp,client 44
83253031,2023-06-02 10:00:00,a,c,c,b,d,moderate,james williams,1966-12-18,m,james.williams36@example.com,101394,acme corp,client 36
88106422,2023-06-03 10:00:00,e,c,d,d,d,aggressive,james doe,1960-06-25,m,james.doe38@example.com,197015,acme corp,client 38
88722606,2023-06-04 10:00:00,b,e,d,b,a,moderate,elizabeth rodriguez,1974-04-01,m,elizabeth.rodriguez44@example.com,134455,acme corp,client 44
85446912,2023-06-05 10:00:00,e,e,c,a,b,moderate,thomas white,1987-04-18,m,thomas.white19@example.com,111714,globex corporation,client 19
88722606,2023-06-06 10:00:00,c,b,b,b,a,moderate,elizabeth rodriguez,1974-04-01,m,elizabeth.rodriguez44@example.com,134455,acme corp,client 44
94698379,2023-06-07 10:00:00,b,d,e,a,d,moderate,charles thompson,1977-01-25,m,charles.thompson3@example.com,140785,acme corp,client 3
84965789,2023-06-08 10:00:00,e,b,d,d,d,aggressive,laura taylor,1991-08-07,f,laura.taylor27@example.com,45370,wayne enterprises,client 27
86007072,2023-06-09 10:00:00,b,a,a,d,b,conservative,mark martin,1998-04-05,f,mark.martin16@example.com,72349,initech,client 16
98187926,2023-06-10 10:00:00,e,d,a,e,b,moderate,christopher anderson,1983-04-05,f,christopher.anderson12@example.com,53831,stark industries,client 12
94514944,2023-06-11 10:00:00,d,b,d,e,e,aggressive,nancy garcia,2004-11-21,m,nancy.garcia8@example.com,189680,wayne enterprises,client 8
88412769,2023-06-12 10:00:00,c,d,e,e,d,aggressive,susan scott,1987-09-01,m,susan.scott39@example.com,49724,wayne enterprises,client 39
83253031,2023-06-13 10:00:00,d,b,d,d,c,aggressive,james williams,1966-12-18,m,james.williams36@example.com,101394,acme corp,client 36
86539837,2023-06-14 10:00:00,b,c,e,d,b,aggressive,margaret wilson,2002-02-24,f,margaret.wilson49@example.com,162939,acme corp,client 49
82321324,2023-06-15 10:00:00,d,a,c,b,c,moderate,michael green,1991-02-25,m,michael.green18@example.com,63657,globex corporation,client 18
92188789,2023-06-16 10:00:00,c,e,a,b,b,moderate,thomas davis,1977-11-16,m,thomas.davis22@example.com,171356,wayne enterprises,client 22
92871534,2023-06-17 10:00:00,d,b,b,a,d,moderate,barbara taylor,1970-08-01,f,barbara.taylor15@example.com,161225,wayne enterprises,client 15
