phonenumber,datetime,question1,question2,question3,question4,question5
81156287,2023-06-01 10:00:00,e,c,a,b,c
88612220,2023-06-02 10:00:00,b,b,a,a,b
81666754,2023-06-03 10:00:00,e,a,d,d,e
88082668,2023-06-04 10:00:00,d,d,d,b,b
85476257,2023-06-05 10:00:00,a,a,d,b,b
82935113,2023-06-06 10:00:00,e,d,a,e,b
94514944,2023-06-07 10:00:00,d,b,d,e,e
87194416,2023-06-08 10:00:00,c,d,e,e,d
95727085,2023-06-09 10:00:00,d,b,d,d,c
86049101,2023-06-10 10:00:00,b,c,e,d,b
82321324,2023-06-11 10:00:00,d,a,c,b,c
85672073,2023-06-12 10:00:00,c,e,a,b,b
88612220,2023-06-13 10:00:00,d,b,b,a,d
99075854,2023-06-14 10:00:00,c,e,d,d,a
82921859,2023-06-15 10:00:00,d,d,e,a,e
93351868,2023-06-16 10:00:00,d,a,c,c,d
99075854,2023-06-17 10:00:00,e,e,e,b,d
88612220,2023-06-18 10:00:00,c,d,d,a,d
85672073,2023-06-19 10:00:00,d,b,d,b,e
86022741,2023-06-20 10:00:00,a,d,e,e,a
97067228,2023-06-21 10:00:00,d,b,d,b,a
86438436,2023-06-22 10:00:00,d,c,b,d,c
85672073,2023-06-23 10:00:00,d,c,d,c,a
81666754,2023-06-24 10:00:00,a,e,a,c,b
85476257,2023-06-25 10:00:00,a,a,a,b,b
91533224,2023-06-26 10:00:00,e,b,b,b,d
88722606,2023-06-27 10:00:00,a,e,b,d,c
98801207,2023-06-28 10:00:00,c,b,e,e,a
98801207,2023-06-29 10:00:00,b,c,a,e,a
98350099,2023-06-30 10:00:00,e,d,d,b,a
93710895,2023-07-01 10:00:00,b,a,c,e,a
91852264,2023-07-02 10:00:00,a,c,e,d,c
95437923,2023-07-03 10:00:00,e,c,a,d,d
82694522,2023-07-04 10:00:00,d,c,d,b,d
97073292,2023-07-05 10:00:00,e,c,e,e,d
84117625,2023-07-06 10:00:00,d,e,c,c,b
97067228,2023-07-07 10:00:00,c,d,b,d,e
87003042,2023-07-08 10:00:00,d,c,a,d,c
97073292,2023-07-09 10:00:00,d,b,c,c,c
82321324,2023-07-10 10:00:00,e,c,e,a,e
88082668,2023-07-11 10:00:00,a,b,d,d,e
86049101,2023-07-12 10:00:00,b,d,d,d,a
97067228,2023-07-13 10:00:00,c,b,d,b,c
88722606,2023-07-14 10:00:00,e,c,d,e,e
94194548,2023-07-15 10:00:00,d,e,c,c,d
82321324,2023-07-16 10:00:00,c,c,b,a,b
84694634,2023-07-17 10:00:00,a,e,b,b,b
97851696,2023-07-18 10:00:00,d,c,e,e,e
85446912,2023-07-19 10:00:00,a,b,c,b,c
97073292,2023-07-20 10:00:00,c,a,e,b,c
