phonenumber,datetime,question1,question2,question3,question4,question5,risktolerance
81156287,2023-06-01 10:00:00,e,c,a,b,c,moderate
88612220,2023-06-02 10:00:00,b,b,a,a,b,conservative
81666754,2023-06-03 10:00:00,e,a,d,d,e,moderate
88082668,2023-06-04 10:00:00,d,d,d,b,b,aggressive
85476257,2023-06-05 10:00:00,a,a,d,b,b,conservative
82935113,2023-06-06 10:00:00,e,d,a,e,b,moderate
94514944,2023-06-07 10:00:00,d,b,d,e,e,aggressive
87194416,2023-06-08 10:00:00,c,d,e,e,d,aggressive
95727085,2023-06-09 10:00:00,d,b,d,d,c,aggressive
86049101,2023-06-10 10:00:00,b,c,e,d,b,aggressive
82321324,2023-06-11 10:00:00,d,a,c,b,c,moderate
85672073,2023-06-12 10:00:00,c,e,a,b,b,moderate
88612220,2023-06-13 10:00:00,d,b,b,a,d,moderate
99075854,2023-06-14 10:00:00,c,e,d,d,a,moderate
82921859,2023-06-15 10:00:00,d,d,e,a,e,moderate
93351868,2023-06-16 10:00:00,d,a,c,c,d,moderate
99075854,2023-06-17 10:00:00,e,e,e,b,d,aggressive
88612220,2023-06-18 10:00:00,c,d,d,a,d,moderate
85672073,2023-06-19 10:00:00,d,b,d,b,e,aggressive
86022741,2023-06-20 10:00:00,a,d,e,e,a,conservative
97067228,2023-06-21 10:00:00,d,b,d,b,a,moderate
86438436,2023-06-22 10:00:00,d,c,b,d,c,aggressive
85672073,2023-06-23 10:00:00,d,c,d,c,a,moderate
81666754,2023-06-24 10:00:00,a,e,a,c,b,conservative
85476257,2023-06-25 10:00:00,a,a,a,b,b,aggressive
91533224,2023-06-26 10:00:00,e,b,b,b,d,aggressive
88722606,2023-06-27 10:00:00,a,e,b,d,c,moderate
98801207,2023-06-28 10:00:00,c,b,e,e,a,moderate
98801207,2023-06-29 10:00:00,b,c,a,e,a,conservative
98350099,2023-06-30 10:00:00,e,d,d,b,a,moderate
93710895,2023-07-01 10:00:00,b,a,c,e,a,conservative
91852264,2023-07-02 10:00:00,a,c,e,d,c,moderate
95437923,2023-07-03 10:00:00,e,c,a,d,d,moderate
82694522,2023-07-04 10:00:00,d,c,d,b,d,aggressive
97073292,2023-07-05 10:00:00,e,c,e,e,d,aggressive
84117625,2023-07-06 10:00:00,d,e,c,c,b,aggressive
97067228,2023-07-07 10:00:00,c,d,b,d,e,aggressive
87003042,2023-07-08 10:00:00,d,c,a,d,c,moderate
97073292,2023-07-09 10:00:00,d,b,c,c,c,aggressive
82321324,2023-07-10 10:00:00,e,c,e,a,e,moderate
88082668,2023-07-11 10:00:00,a,b,d,d,e,moderate
86049101,2023-07-12 10:00:00,b,d,d,d,a,moderate
97067228,2023-07-13 10:00:00,c,b,d,b,c,aggressive
88722606,2023-07-14 10:00:00,e,c,d,e,e,aggressive
94194548,2023-07-15 10:00:00,d,e,c,c,d,aggressive
82321324,2023-07-16 10:00:00,c,c,b,a,b,moderate
84694634,2023-07-17 10:00:00,a,e,b,b,b,moderate
97851696,2023-07-18 10:00:00,d,c,e,e,e,aggressive
85446912,2023-07-19 10:00:00,a,b,c,b,c,moderate
97073292,2023-07-20 10:00:00,c,a,e,b,c,moderate
